,Combo,AverageInterFactorCorr,MaxInterFactorCorr,AverageFactorReturnCorr
219,"['KAMA', 'FI', 'DC', 'MI']",0.035101097849523234,0.09872702208831746,0.015065834321221121
214,"['KAMA', 'FI', 'BB', 'MI']",0.04914853425115722,0.1420295330322099,0.014281613681635929
194,"['KAMA', 'EoM', 'DC', 'MI']",0.035352636129006805,0.06384197208470434,0.014046341419616758
215,"['KAMA', 'FI', 'DC', 'ADX']",0.03623255993491976,0.09872702208831746,0.013752720444186791
189,"['KAMA', 'EoM', 'BB', 'MI']",0.04418805823562441,0.0645207956740498,0.013262120780031566
210,"['KAMA', 'FI', 'BB', 'ADX']",0.04697335795430929,0.1420295330322099,0.012968499804601599
199,"['KAMA', 'EoM', 'KC', 'MI']",0.0475549187166573,0.07219192595441247,0.012960180046317884
190,"['KAMA', 'EoM', 'DC', 'ADX']",0.032313803312697516,0.05135894524087219,0.012733227542582428
185,"['KAMA', 'EoM', 'BB', 'ADX']",0.03784258703707066,0.07404071493582225,0.011949006902997236
175,"['KAMA', 'EoM', 'UI', 'ADX']",0.03838499662329383,0.05189984510707541,0.010702148084899402
